Type	Chr	initial_guess	pass_filter
ALU	chr1	189247056	True
ALU	chr1	190861751	False
ALU	chr1	191580675	True
ALU	chr1	191817384	True
ALU	chr1	192695962	False
ALU	chr1	193746959	False
ALU	chr1	194252921	False
ALU	chr1	194300576	False
ALU	chr1	194675113	True
ALU	chr1	195084397	False
ALU	chr1	196153581	False
ALU	chr1	197011815	True
ALU	chr1	198243388	True
ALU	chr1	198469385	True
ALU	chr1	199329769	False
ALU	chr1	204155649	False
ALU	chr1	204238459	True
ALU	chr1	208691532	True
ALU	chr1	210918495	True
ALU	chr1	213292864	True
ALU	chr1	217913548	True
ALU	chr1	218756006	True
ALU	chr1	218882423	True
ALU	chr1	221969201	True
ALU	chr1	222870733	True
ALU	chr1	225995484	False
ALU	chr1	225996408	True
ALU	chr1	226007068	False
ALU	chr1	226415281	False
ALU	chr1	227602261	True
ALU	chr1	229910676	True
ALU	chr1	231085140	True
ALU	chr1	232587744	True
ALU	chr1	233865042	False
ALU	chr1	234070514	True
ALU	chr1	234805803	True
ALU	chr1	235401518	False
ALU	chr1	235538539	False
ALU	chr1	237569230	True
ALU	chr1	237967640	True
ALU	chr1	240134832	True
ALU	chr1	241123512	False
ALU	chr1	241489921	True
ALU	chr1	244511563	False
ALU	chr1	244512211	False
ALU	chr1	244956963	False
ALU	chr1	245956121	False
ALU	chr1	245989349	True
ALU	chr1	246165311	False
ALU	chr1	246166062	False
ALU	chr1	246173265	True
ALU	chr1	246251929	False
ALU	chr1	246301994	False
ALU	chr1	246406745	True
ALU	chr1	246565711	True
ALU	chr1	246739625	True
ALU	chr1	246816144	False
ALU	chr1	247139619	False
ALU	chr1	247176921	False
ALU	chr10	873265	False
ALU	chr10	1755041	False
ALU	chr10	2077496	True
ALU	chr10	2240937	True
ALU	chr10	3138744	False
ALU	chr10	3569041	True
ALU	chr10	3794907	True
ALU	chr10	4292120	True
ALU	chr10	5003758	True
ALU	chr10	9474914	True
ALU	chr10	9511063	True
ALU	chr10	9904481	True
ALU	chr10	11520872	True
ALU	chr10	12373266	True
ALU	chr10	12457120	True
ALU	chr10	12892496	False
ALU	chr10	14276961	False
ALU	chr10	14277569	False
ALU	chr10	14396663	True
ALU	chr10	14484735	True
ALU	chr10	17535942	True
ALU	chr10	21688250	True
ALU	chr10	22867649	True
ALU	chr10	26225947	True
ALU	chr10	26351494	False
ALU	chr10	26939692	False
ALU	chr10	26961122	False
ALU	chr10	27929927	True
ALU	chr10	29102599	True
ALU	chr10	29105325	True
ALU	chr10	31034210	False
ALU	chr10	32653163	True
ALU	chr10	35995094	True
ALU	chr10	36593642	True
ALU	chr10	48419969	True
ALU	chr10	54441697	False
ALU	chr10	54466868	True
ALU	chr10	54487476	False
ALU	chr10	54806027	True
ALU	chr10	55983369	True
ALU	chr10	56140233	True
ALU	chr10	56181242	False
ALU	chr10	56511710	False
ALU	chr10	56664546	False
ALU	chr10	56902458	True
ALU	chr10	57974581	True
ALU	chr10	58902188	True
ALU	chr10	60984846	True
ALU	chr10	62124798	True
ALU	chr10	67430949	True
ALU	chr10	68084720	True
ALU	chr10	68217421	True
ALU	chr10	69994882	True
ALU	chr10	70361530	True
ALU	chr10	70685985	True
ALU	chr10	71308711	True
ALU	chr10	71610023	False
ALU	chr10	71745035	False
ALU	chr10	73193605	True
ALU	chr10	73661978	True
ALU	chr10	81695868	True
ALU	chr10	83145936	True
ALU	chr10	84294004	True
ALU	chr10	85917752	True
ALU	chr10	89373642	True
ALU	chr10	89449103	False
ALU	chr10	89814874	True
ALU	chr10	92215136	True
ALU	chr10	92227564	True
ALU	chr10	94571431	True
ALU	chr10	96630276	False
ALU	chr10	97668527	True
ALU	chr10	98418609	True
ALU	chr10	100219724	False
ALU	chr10	103760317	False
ALU	chr10	104089477	False
ALU	chr10	104808436	True
ALU	chr10	105817205	True
ALU	chr10	107891532	True
ALU	chr10	107958849	True
ALU	chr10	108847926	True
ALU	chr10	108991292	True
ALU	chr10	111572174	True
ALU	chr10	114073855	True
ALU	chr10	116078557	False
ALU	chr10	117006371	True
ALU	chr10	117703841	True
ALU	chr10	119040938	True
ALU	chr10	123228914	False
ALU	chr10	123348259	True
ALU	chr10	124736035	True
ALU	chr10	127197284	True
ALU	chr10	128616049	True
ALU	chr11	428047	True
ALU	chr11	2894617	True
ALU	chr11	3267776	False
ALU	chr11	3850365	False
ALU	chr11	4907972	True
ALU	chr11	5446067	False
ALU	chr11	5885155	True
ALU	chr11	6396291	False
ALU	chr11	6882014	True
ALU	chr11	7352535	True
ALU	chr11	7612667	True
ALU	chr11	8887320	True
ALU	chr11	9220256	False
ALU	chr11	9331019	True
ALU	chr11	9338342	True
ALU	chr11	10637498	False
ALU	chr11	13812989	True
ALU	chr11	14500043	True
ALU	chr11	16019938	True
ALU	chr11	16587281	False
ALU	chr11	16887122	True
ALU	chr11	23358498	True
ALU	chr11	23522815	True
ALU	chr11	24393267	False
ALU	chr11	24793014	True
ALU	chr11	25605076	True
ALU	chr11	25653698	True
ALU	chr11	26293250	True
ALU	chr11	26601719	True
ALU	chr11	27039974	True
ALU	chr11	30760974	False
ALU	chr11	33235186	True
ALU	chr11	33624793	True
ALU	chr11	33675514	True
ALU	chr11	34269714	False
ALU	chr11	37706172	False
ALU	chr11	38801035	True
ALU	chr11	40493966	True
ALU	chr11	43191313	True
ALU	chr11	45983932	False
ALU	chr11	46931181	False
ALU	chr11	47511526	False
ALU	chr11	47579045	False
ALU	chr11	47669845	True
ALU	chr11	48933129	True
ALU	chr11	56303318	True
ALU	chr11	57774167	True
ALU	chr11	60758347	True
ALU	chr11	61145185	True
ALU	chr11	61890444	True
ALU	chr11	62249119	True
ALU	chr11	64144986	True
ALU	chr11	64150879	True
ALU	chr11	65080404	True
ALU	chr11	65503551	True
ALU	chr11	66365936	True
ALU	chr11	66711290	False
ALU	chr11	67422309	False
ALU	chr11	68196410	False
ALU	chr11	68254886	True
ALU	chr11	68556148	False
ALU	chr11	69400822	True
ALU	chr11	71274423	True
ALU	chr11	71368345	False
ALU	chr11	72320799	False
ALU	chr11	74140684	False
ALU	chr11	75076838	True
ALU	chr11	79191581	True
ALU	chr11	81378777	True
ALU	chr11	85543048	True
ALU	chr11	85970296	True
ALU	chr11	86840239	True
ALU	chr11	87042772	True
ALU	chr11	87925469	True
ALU	chr11	88379705	True
ALU	chr11	91746631	False
ALU	chr11	92608468	True
ALU	chr11	93094121	False
ALU	chr11	93661911	False
ALU	chr11	94091892	True
ALU	chr11	96683300	False
ALU	chr11	98774741	True
ALU	chr11	100781395	True
ALU	chr11	101796454	True
ALU	chr11	102169786	True
ALU	chr11	102348350	True
ALU	chr11	102513079	True
ALU	chr11	102553258	False
ALU	chr11	103201271	True
ALU	chr11	104144698	True
ALU	chr11	104786552	True
ALU	chr11	105836087	True
ALU	chr11	106044504	True
ALU	chr11	106170437	True
ALU	chr11	112202550	True
ALU	chr11	117683492	False
ALU	chr11	117897596	False
ALU	chr11	117898231	False
ALU	chr11	120211995	True
ALU	chr11	122053661	True
ALU	chr11	124450826	True
ALU	chr11	126915250	True
ALU	chr11	126941143	True
ALU	chr11	127997853	True
ALU	chr11	128997452	True
ALU	chr11	130511506	False
ALU	chr11	130675935	True
ALU	chr11	130922826	False
ALU	chr11	130923441	False
ALU	chr11	131178199	True
ALU	chr11	131230886	True
ALU	chr11	133408929	False
ALU	chr11	133409568	False
ALU	chr12	309453	False
ALU	chr12	785456	False
ALU	chr12	1115512	False
ALU	chr12	1652471	True
ALU	chr12	1748454	True
ALU	chr12	1864376	True
ALU	chr12	2089932	True
ALU	chr12	4770828	True
ALU	chr12	4843812	False
ALU	chr12	5769485	False
ALU	chr12	6414440	False
ALU	chr12	6462561	False
ALU	chr12	6463111	False
ALU	chr12	6472292	False
ALU	chr12	6538926	False
ALU	chr12	6907689	True
ALU	chr12	7108411	False
ALU	chr12	7604019	True
ALU	chr12	7841668	False
ALU	chr12	9369201	True
ALU	chr12	9410734	False
ALU	chr12	9871179	True
ALU	chr12	10234262	True
ALU	chr12	11179028	True
ALU	chr12	14173943	True
ALU	chr12	15104689	True
ALU	chr12	18368761	True
ALU	chr12	18896110	True
ALU	chr12	20908744	True
ALU	chr12	22085875	False
ALU	chr12	22123856	True
ALU	chr12	22179779	False
ALU	chr12	24451695	True
ALU	chr12	25462933	True
ALU	chr12	25672020	False
ALU	chr12	26697669	True
ALU	chr12	27521117	True
ALU	chr12	27864846	True
ALU	chr12	28226404	False
ALU	chr12	28274548	True
ALU	chr12	28289022	True
ALU	chr12	29816611	False
ALU	chr12	29823918	True
ALU	chr12	30420737	True
ALU	chr12	31120801	True
ALU	chr12	31406683	True
ALU	chr12	32076419	True
ALU	chr12	38011023	True
ALU	chr12	39378219	True
ALU	chr12	41203635	True
ALU	chr12	41847759	True
ALU	chr12	42482692	True
ALU	chr12	43717925	True
ALU	chr12	44487529	True
ALU	chr12	45419561	True
ALU	chr12	46046283	True
ALU	chr12	46175252	True
ALU	chr12	46514604	False
ALU	chr12	46648213	True
ALU	chr12	48312456	True
ALU	chr12	50005212	False
ALU	chr12	50569174	False
ALU	chr12	51170221	False
ALU	chr12	53542124	False
ALU	chr12	53748414	True
ALU	chr12	58083093	False
ALU	chr12	58359035	True
ALU	chr12	58458144	True
ALU	chr12	59219039	True
ALU	chr12	61704091	True
ALU	chr12	62880033	True
ALU	chr12	64462272	False
ALU	chr12	65397366	True
ALU	chr12	67011609	True
ALU	chr12	70563144	False
ALU	chr12	75931114	True
ALU	chr12	76823082	True
ALU	chr12	77258471	False
ALU	chr12	77275828	False
ALU	chr12	84086177	True
ALU	chr12	85568503	False
ALU	chr12	87870804	True
ALU	chr12	88338151	True
ALU	chr12	88579592	True
ALU	chr12	95749233	True
ALU	chr12	97495329	True
ALU	chr12	98163469	True
ALU	chr12	98884635	True
ALU	chr12	98886332	True
ALU	chr12	99781692	True
ALU	chr12	101450694	True
ALU	chr12	101872660	True
ALU	chr12	102855233	True
ALU	chr12	104015055	True
ALU	chr12	104159534	True
ALU	chr12	104426275	False
ALU	chr12	105316852	False
ALU	chr12	105438316	True
ALU	chr12	108246015	True
ALU	chr12	109887654	True
ALU	chr12	110617872	True
ALU	chr12	113072247	True
ALU	chr12	115023878	True
ALU	chr12	115221926	True
ALU	chr12	115731114	True
ALU	chr12	120183229	False
ALU	chr12	122722323	True
ALU	chr12	122947516	True
ALU	chr12	123125491	False
ALU	chr12	123928378	False
ALU	chr12	125484564	False
ALU	chr12	126889843	False
ALU	chr12	127552729	True
ALU	chr12	129332422	True
ALU	chr12	131089336	False
ALU	chr12	131424303	True
ALU	chr12	132098925	True
ALU	chr13	19606130	True
ALU	chr13	20406986	True
ALU	chr13	21894821	True
ALU	chr13	21899512	False
ALU	chr13	22188405	True
ALU	chr13	22959018	False
ALU	chr13	23637448	False
ALU	chr13	24620742	True
ALU	chr13	25973980	False
ALU	chr13	26816328	True
ALU	chr13	28626531	True
ALU	chr13	29538946	True
ALU	chr13	31892056	True
ALU	chr13	32014879	True
ALU	chr13	32439120	True
ALU	chr13	32986548	True
ALU	chr13	34738938	True
ALU	chr13	39218884	False
ALU	chr13	39499582	False
ALU	chr13	39778417	True
ALU	chr13	41270058	False
ALU	chr13	41270711	False
ALU	chr13	42571481	True
ALU	chr13	42940061	True
ALU	chr13	43262797	True
ALU	chr13	45426514	True
ALU	chr13	47095397	True
ALU	chr13	47131657	True
ALU	chr13	48109561	True
ALU	chr13	48792441	True
ALU	chr13	50042794	True
ALU	chr13	50122876	False
ALU	chr13	50123422	False
ALU	chr13	50912103	True
ALU	chr13	53433764	True
ALU	chr13	54606630	False
ALU	chr13	56186634	True
ALU	chr13	57589055	True
ALU	chr13	58621093	True
ALU	chr13	58761388	True
ALU	chr13	59396921	True
ALU	chr13	61162512	True
ALU	chr13	61367323	True
ALU	chr13	61787303	False
ALU	chr13	62589047	True
ALU	chr13	62721015	True
ALU	chr13	63638378	False
ALU	chr13	65145602	False
ALU	chr13	66014495	True
ALU	chr13	67398869	True
ALU	chr13	67508720	False
ALU	chr13	67903473	True
ALU	chr13	69670834	True
ALU	chr13	70056948	True
ALU	chr13	71142458	True
ALU	chr13	72851459	True
ALU	chr13	73704748	False
ALU	chr13	76664030	True
ALU	chr13	77535734	True
ALU	chr13	78584697	True
ALU	chr13	78651646	True
ALU	chr13	79271502	True
ALU	chr13	81810211	True
ALU	chr13	83747399	False
ALU	chr13	85469768	True
ALU	chr13	85473574	False
ALU	chr13	85820309	True
ALU	chr13	86166484	True
ALU	chr13	86361563	True
ALU	chr13	87393025	True
ALU	chr13	87696252	True
ALU	chr13	90038747	True
ALU	chr13	90321094	False
ALU	chr13	90550463	True
ALU	chr13	90903370	True
ALU	chr13	90947647	True
ALU	chr13	91438383	False
ALU	chr13	92161687	True
ALU	chr13	92261301	True
ALU	chr13	92513913	True
ALU	chr13	92825166	True
ALU	chr13	93828478	True
ALU	chr13	94105852	True
ALU	chr13	95249544	True
ALU	chr13	98663060	False
ALU	chr13	98734969	True
ALU	chr13	99623700	True
ALU	chr13	99765056	True
ALU	chr13	100082646	True
ALU	chr13	100821486	True
ALU	chr13	101535984	True
ALU	chr13	102473086	False
ALU	chr13	104558097	True
ALU	chr13	105714907	True
ALU	chr13	107827097	False
ALU	chr13	107827689	False
ALU	chr13	108668983	True
ALU	chr13	111232751	False
ALU	chr13	111449248	False
ALU	chr13	111611778	True
ALU	chr13	114011313	False
ALU	chr13	114026926	False
ALU	chr14	20484422	False
ALU	chr14	21161306	False
ALU	chr14	22041667	True
ALU	chr14	22578777	True
ALU	chr14	22996563	False
ALU	chr14	22997282	False
ALU	chr14	27942016	True
ALU	chr14	28537223	False
ALU	chr14	31399202	False
ALU	chr14	31444192	True
ALU	chr14	31877770	False
ALU	chr14	32669260	True
ALU	chr14	33391957	True
ALU	chr14	34493430	True
ALU	chr14	35397327	True
ALU	chr14	38359591	True
ALU	chr14	40312990	True
ALU	chr14	40317390	False
ALU	chr14	40579643	True
ALU	chr14	40592497	True
ALU	chr14	40883008	True
ALU	chr14	42079896	False
ALU	chr14	44522382	True
ALU	chr14	45013979	False
ALU	chr14	47836113	True
ALU	chr14	51432133	True
ALU	chr14	51626727	False
ALU	chr14	52643808	True
ALU	chr14	53672015	False
ALU	chr14	53778109	True
ALU	chr14	55795917	True
ALU	chr14	56244268	False
ALU	chr14	57507903	False
ALU	chr14	57778028	False
ALU	chr14	59969484	False
ALU	chr14	60454185	True
ALU	chr14	60532423	False
ALU	chr14	60575533	True
ALU	chr14	63226324	True
ALU	chr14	65015074	True
ALU	chr14	67910626	False
ALU	chr14	69636520	True
ALU	chr14	70212692	False
ALU	chr14	71480288	True
ALU	chr14	74013605	True
ALU	chr14	74186597	True
ALU	chr14	74246986	True
ALU	chr14	74928658	True
ALU	chr14	74942161	True
ALU	chr14	75499624	True
ALU	chr14	77116247	True
ALU	chr14	78263382	True
ALU	chr14	78982704	True
ALU	chr14	81503805	False
ALU	chr14	84632671	True
ALU	chr14	86630681	True
ALU	chr14	90112179	False
ALU	chr14	91185138	True
ALU	chr14	91263670	False
ALU	chr14	91825583	True
ALU	chr14	92116063	True
ALU	chr14	92125038	True
ALU	chr14	93830929	True
ALU	chr14	94367428	False
ALU	chr14	97151886	True
ALU	chr14	98494431	True
ALU	chr14	103028370	True
ALU	chr14	103279603	True
ALU	chr14	105641820	True
ALU	chr14	107166265	False
ALU	chr15	20578654	True
ALU	chr15	20875408	False
ALU	chr15	22769072	True
ALU	chr15	24064098	False
ALU	chr15	24591295	False
ALU	chr15	25735638	True
ALU	chr15	26141258	True
ALU	chr15	27765828	True
ALU	chr15	28175004	True
ALU	chr15	38769479	True
ALU	chr15	39316252	False
ALU	chr15	39691572	True
ALU	chr15	44198663	False
ALU	chr15	44823611	True
ALU	chr15	45570016	False
ALU	chr15	45582304	False
ALU	chr15	46125958	True
ALU	chr15	54424258	True
ALU	chr15	56833907	True
ALU	chr15	60657257	True
ALU	chr15	61216520	True
ALU	chr15	61622421	True
ALU	chr15	61712648	False
ALU	chr15	63287034	False
ALU	chr15	66513950	True
ALU	chr15	67294872	True
ALU	chr15	70408494	False
ALU	chr15	70747328	True
ALU	chr15	72639617	True
ALU	chr15	73983406	True
ALU	chr15	76372648	True
ALU	chr15	76758760	False
ALU	chr15	77092576	True
ALU	chr15	78140451	True
ALU	chr15	79795910	True
ALU	chr15	80335930	True
ALU	chr15	81392640	True
ALU	chr15	82035733	True
ALU	chr15	84676295	True
ALU	chr15	85397493	True
ALU	chr15	85662737	False
ALU	chr15	85815309	False
ALU	chr15	86012014	False
ALU	chr15	86012624	False
ALU	chr15	90107418	True
ALU	chr15	90569551	False
ALU	chr15	91557448	False
ALU	chr15	93372749	True
ALU	chr15	93835724	True
ALU	chr15	94719625	False
ALU	chr15	94888543	True
ALU	chr15	95165011	True
ALU	chr15	97585949	True
ALU	chr15	97770186	True
ALU	chr15	97914066	False
ALU	chr15	97953534	False
ALU	chr15	98827968	False
ALU	chr15	99630146	True
ALU	chr15	100343314	False
ALU	chr15	100810975	True
ALU	chr15	100812737	True
ALU	chr15	100898943	True
ALU	chr15	102114993	True
ALU	chr16	150473	False
ALU	chr16	286500	False
ALU	chr16	287073	False
ALU	chr16	483182	True
ALU	chr16	2351222	False
ALU	chr16	2884300	False
ALU	chr16	2884894	False
ALU	chr16	3089265	True
ALU	chr16	5028400	False
ALU	chr16	7541315	True
ALU	chr16	11086401	True
ALU	chr16	11389500	True
ALU	chr16	12783280	True
ALU	chr16	16008459	True
ALU	chr16	18950651	True
ALU	chr16	18960103	True
ALU	chr16	19517440	True
ALU	chr16	23809464	True
ALU	chr16	23865342	True
ALU	chr16	24327621	True
ALU	chr16	25340096	True
ALU	chr16	30462498	False
ALU	chr16	32398374	False
ALU	chr16	33467640	False
ALU	chr16	33913361	True
ALU	chr16	33917110	False
ALU	chr16	46709103	True
ALU	chr16	46822076	False
ALU	chr16	50392294	True
ALU	chr16	53183602	True
ALU	chr16	53874967	True
ALU	chr16	55888454	False
ALU	chr16	56075087	True
ALU	chr16	58850285	True
ALU	chr16	60041226	True
ALU	chr16	61079238	False
ALU	chr16	67842940	False
ALU	chr16	69191878	True
ALU	chr16	69395937	True
ALU	chr16	69772291	True
ALU	chr16	71767404	True
ALU	chr16	71853836	False
ALU	chr16	73450768	False
ALU	chr16	74992523	False
ALU	chr16	76218403	False
ALU	chr16	78272850	False
ALU	chr16	78692811	True
ALU	chr16	80217434	True
ALU	chr16	80696944	True
ALU	chr16	80997264	True
ALU	chr16	81119817	True
ALU	chr16	81129284	True
ALU	chr16	81150266	True
ALU	chr16	81277953	True
ALU	chr16	82164681	True
ALU	chr16	82912038	True
ALU	chr16	83666307	False
ALU	chr16	85108714	True
ALU	chr16	87184856	False
ALU	chr16	87191743	False
ALU	chr16	89886767	True
ALU	chr16	90053212	False
ALU	chr17	1032623	False
ALU	chr17	1156453	False
ALU	chr17	1794837	True
ALU	chr17	3802430	False
ALU	chr17	4961665	False
ALU	chr17	8069392	True
ALU	chr17	8696179	False
ALU	chr17	10399127	False
ALU	chr17	11253354	False
ALU	chr17	11253938	False
ALU	chr17	13799592	True
ALU	chr17	14527579	True
ALU	chr17	17734469	True
ALU	chr17	20461614	True
ALU	chr17	25595127	True
ALU	chr17	26169363	True
ALU	chr17	27632846	True
ALU	chr17	29119750	False
ALU	chr17	30645522	True
ALU	chr17	30893863	True
ALU	chr17	32629291	True
ALU	chr17	35427882	True
ALU	chr17	36169422	True
ALU	chr17	36399884	True
ALU	chr17	37891704	True
ALU	chr17	38679491	True
ALU	chr17	38747905	True
ALU	chr17	40615150	True
ALU	chr17	46504908	True
ALU	chr17	46617212	True
ALU	chr17	48998423	True
ALU	chr17	50398531	True
ALU	chr17	50919385	False
ALU	chr17	51031296	True
ALU	chr17	51427869	True
ALU	chr17	51957080	True
ALU	chr17	54947541	True
ALU	chr17	55780498	True
ALU	chr17	56046461	False
ALU	chr17	57628932	False
ALU	chr17	59635886	False
ALU	chr17	61074345	False
ALU	chr17	61565985	True
ALU	chr17	62002721	True
ALU	chr17	66643119	False
ALU	chr17	68305581	False
ALU	chr17	73182518	False
ALU	chr17	73383075	True
ALU	chr17	73427648	False
ALU	chr17	74046863	True
ALU	chr17	74069717	False
ALU	chr17	75936026	True
ALU	chr17	76052966	True
ALU	chr17	76347308	True
ALU	chr17	76505294	True
ALU	chr17	77969117	False
ALU	chr17	77969675	False
ALU	chr17	78056026	True
ALU	chr17	79029368	False
ALU	chr17	79446167	False
ALU	chr17	80589542	True
ALU	chr18	21796	False
ALU	chr18	853499	True
ALU	chr18	1235803	True
ALU	chr18	1540841	False
ALU	chr18	1541416	False
ALU	chr18	1754981	False
ALU	chr18	1755596	False
ALU	chr18	1817928	False
ALU	chr18	1818642	False
ALU	chr18	1830684	True
ALU	chr18	2032844	False
ALU	chr18	2116070	False
ALU	chr18	2116659	False
ALU	chr18	3410890	False
ALU	chr18	4355849	True
ALU	chr18	6979452	False
ALU	chr18	8927279	True
ALU	chr18	9893042	True
ALU	chr18	10911074	False
ALU	chr18	12396662	True
ALU	chr18	12669962	False
ALU	chr18	19705214	True
ALU	chr18	23794249	True
ALU	chr18	25871782	True
ALU	chr18	27156430	True
ALU	chr18	27182018	True
ALU	chr18	27531873	True
ALU	chr18	27800872	True
ALU	chr18	29003636	True
ALU	chr18	29622109	False
ALU	chr18	30412515	False
ALU	chr18	30413029	False
ALU	chr18	31533251	True
ALU	chr18	32497196	False
ALU	chr18	36512480	True
ALU	chr18	38348142	True
ALU	chr18	38686614	False
ALU	chr18	41453232	False
ALU	chr18	41757151	False
ALU	chr18	45379690	True
ALU	chr18	46523848	True
ALU	chr18	50042008	False
ALU	chr18	50986523	True
ALU	chr18	54357007	True
ALU	chr18	54706204	True
ALU	chr18	55731071	False
ALU	chr18	57372791	True
ALU	chr18	59713813	True
ALU	chr18	60686051	True
ALU	chr18	60730956	False
ALU	chr18	62173770	True
ALU	chr18	63487261	True
ALU	chr18	66399104	True
ALU	chr18	66572478	True
ALU	chr18	68438335	True
ALU	chr18	71083562	False
ALU	chr18	71841034	False
ALU	chr18	73954007	True
ALU	chr18	74000363	False
ALU	chr18	74486891	True
ALU	chr18	74709855	False
ALU	chr18	74794321	False
ALU	chr18	75846422	True
ALU	chr19	289315	False
ALU	chr19	785437	False
ALU	chr19	2183917	False
ALU	chr19	2383682	True
ALU	chr19	2895888	False
ALU	chr19	2896377	True
ALU	chr19	2911032	False
ALU	chr19	3081523	True
ALU	chr19	3127824	False
ALU	chr19	3742462	False
ALU	chr19	3909236	False
ALU	chr19	4133270	False
ALU	chr19	6923914	True
ALU	chr19	7086864	False
ALU	chr19	7804078	True
ALU	chr19	8200339	True
ALU	chr19	8236987	True
ALU	chr19	8487996	False
ALU	chr19	11242932	False
ALU	chr19	11243508	False
ALU	chr19	11356877	True
ALU	chr19	12558599	False
ALU	chr19	12698980	True
ALU	chr19	15045246	True
ALU	chr19	15927890	True
ALU	chr19	16076782	True
ALU	chr19	18660595	False
ALU	chr19	20746042	True
ALU	chr19	20984691	True
ALU	chr19	21513653	False
ALU	chr19	21514317	False
ALU	chr19	21747555	True
ALU	chr19	22446901	False
ALU	chr19	22816883	True
ALU	chr19	22824974	False
ALU	chr19	22825612	False
ALU	chr19	23140779	False
ALU	chr19	23142946	True
ALU	chr19	23291298	True
ALU	chr19	23917048	True
ALU	chr19	23951271	False
ALU	chr19	27836542	True
ALU	chr19	30448263	True
ALU	chr19	31690662	True
ALU	chr19	35073521	True
ALU	chr19	36180374	False
ALU	chr19	36707458	True
ALU	chr19	36711188	False
ALU	chr19	36971612	True
ALU	chr19	37281568	False
ALU	chr19	38031459	True
ALU	chr19	38343175	False
ALU	chr19	42307848	False
ALU	chr19	45513559	True
ALU	chr19	46175316	True
ALU	chr19	47804372	True
ALU	chr19	47809266	False
ALU	chr19	48312000	False
ALU	chr19	49112228	False
ALU	chr19	51023482	False
ALU	chr19	52888002	True
ALU	chr19	53451387	False
ALU	chr19	53799174	True
ALU	chr19	54009217	False
ALU	chr19	54009806	False
ALU	chr19	54036390	True
ALU	chr19	54907124	False
ALU	chr19	55510026	True
